nodeno;cou;sta;dena;z6;share_L;share_h;ror;pv;on;off;bio;geo;Lat;Long;Lat, Long war in ELMOD-DE vertauscht;dena
n217;DE;DE_NRW;dena72;DE_WE;0.003;0.003;1;16;1;0;1;0;51.172;7.122;0;72
n218;DE;DE_HE;dena24;DE_WE;0.001;0.001;24;59;19;0;6;0;51.167;9.05;0;24
n219;DE;DE_NRW;dena72;DE_WE;0.004;0.003;0;7;0;0;4;0;51.163;6.828;0;72
n220;DE;DE_SN;dena84;DE_EA;0.003;0.003;2;121;67;0;15;0;51.156;12.518;0;84
n221;NL;NL;dena97;NL;0;0;0;0;0;0;0;0;51.147;5.918;0;97
n222;DE;DE_NRW;dena72;DE_WE;0.003;0.002;0;10;0;0;16;0;51.147;6.773;0;72
n223;DE;DE_NRW;dena72;DE_WE;0.003;0.003;0;3;0;0;0;0;51.124;6.802;0;72
n224;DE;DE_SN;dena84;DE_EA;0.002;0.002;2;67;55;0;11;0;51.121;14.219;0;84
n225;PL;PL;dena98;PL;0;0;0;0;0;0;0;0;51.092;15.117;0;98
n226;DE;DE_NRW;dena72;DE_WE;0.004;0.003;0;12;12;0;5;0;51.091;6.709;0;72
n227;DE;DE_NRW;dena72;DE_WE;0.004;0.003;0;13;0;0;2;0;51.07;6.966;0;72
n228;DE;DE_SN;dena84;DE_EA;0.001;0.001;3;85;191;0;19;0;51.062;14.949;0;84
n229;DE;DE_HE;dena24;DE_WE;0.001;0.001;2;138;180;0;9;0;51.059;9.258;0;24
n230;DE;DE_NRW;dena74;DE_WE;0.003;0.003;0;16;95;0;1;0;51.058;6.576;0;74
n231;DE;DE_NRW;dena74;DE_WE;0.005;0.004;0;6;0;0;0;0;51.038;6.976;0;74
n232;DE;DE_NRW;dena74;DE_WE;0.003;0.003;0;0;0;0;0;0;51.038;6.612;0;74
n233;DE;DE_NRW;dena74;DE_WE;0.004;0.003;0;3;0;0;0;0;51.032;6.936;0;74
n234;DE;DE_NRW;dena74;DE_WE;0.003;0.002;24;28;40;0;2;0;51.011;7.938;0;74
n235;DE;DE_NRW;dena74;DE_WE;0.002;0.001;0;3;12;0;0;0;51.009;6.702;0;74
n236;DE;DE_TH;dena83;DE_EA;0.002;0.003;8;237;228;0;26;0;51.002;10.385;0;83
n237;DE;DE_NRW;dena74;DE_WE;0.006;0.005;0;10;0;0;1;0;50.999;7.023;0;74
n238;DE;DE_TH;dena83;DE_EA;0.002;0.003;1;103;176;0;20;0;50.999;11.123;0;83
n239;DE;DE_NRW;dena74;DE_WE;0.002;0.002;0;1;0;0;0;0;50.993;6.668;0;74
n240;DE;DE_SN;dena84;DE_EA;0.004;0.003;8;110;56;0;27;0;50.99;13.841;0;84
n241;DE;DE_NRW;dena74;DE_WE;0.003;0.003;0;9;0;0;3;0;50.984;6.851;0;74
n242;DE;DE_NRW;dena74;DE_WE;0.003;0.002;0;11;4;0;0;0;50.966;6.806;0;74
n243;DE;DE_NRW;dena74;DE_WE;0.002;0.002;0;20;30;0;4;0;50.953;6.596;0;74
n244;DE;DE_TH;dena83;DE_EA;0.002;0.003;5;75;144;0;15;0;50.93;11.471;0;83
n245;DE;DE_HE;dena24;DE_WE;0.002;0.003;5;124;53;0;8;0;50.917;9.746;0;24
n246;DE;DE_NRW;dena74;DE_WE;0.002;0.002;0;93;142;0;16;0;50.912;6.216;0;74
n247;DE;DE_NRW;dena74;DE_WE;0.006;0.004;0;10;0;0;1;0;50.906;7.047;0;74
n248;DE;DE_NRW;dena74;DE_WE;0.003;0.002;0;14;19;0;1;0;50.881;6.488;0;74
n249;DE;DE_NRW;dena74;DE_WE;0.002;0.002;2;28;84;0;4;0;50.872;6.457;0;74
n250;DE;DE_SN;dena84;DE_EA;0.003;0.003;43;130;221;0;30;0;50.866;13.002;0;84
n251;DE;DE_NRW;dena74;DE_WE;0.004;0.003;0;40;21;0;6;0;50.864;6.843;0;74
n252;DE;DE_SN;dena84;DE_EA;0.003;0.003;9;58;89;0;7;0;50.858;12.813;0;84
n253;DE;DE_NRW;dena74;DE_WE;0;0;0;0;0;0;0;0;50.844;6.929;0;74
n254;DE;DE_RP;dena74;DE_WE;0.002;0.002;0;19;18;0;3;0;50.842;7.985;0;74
n255;DE;DE_NRW;dena74;DE_WE;0.005;0.004;0;5;0;0;0;0;50.834;6.963;0;74
n256;DE;DE_NRW;dena74;DE_WE;0.002;0.002;0;6;13;0;0;0;50.83;6.27;0;74
n257;DE;DE_NRW;dena74;DE_WE;0.002;0.002;0;17;41;0;5;0;50.829;6.301;0;74
n258;DE;DE_NRW;dena74;DE_WE;0.003;0.002;0;15;0;0;0;0;50.827;7.096;0;74
n259;DE;DE_NRW;dena74;DE_WE;0.002;0.002;1;45;53;0;10;0;50.802;6.167;0;74
n260;DE;DE_NRW;dena74;DE_WE;0.005;0.004;4;57;0;0;3;0;50.798;7.193;0;74
n261;DE;DE_NRW;dena74;DE_WE;0.005;0.004;0;8;4;0;1;0;50.795;6.973;0;74
n262;DE;DE_TH;dena83;DE_EA;0.002;0.003;2;145;63;0;42;0;50.781;12.045;0;83
n263;DE;DE_RP;dena74;DE_WE;0.003;0.002;4;60;72;0;4;0;50.769;7.864;0;74
n264;DE;DE_HE;dena74;DE_WE;0.003;0.002;4;46;47;0;3;0;50.759;8.284;0;74
n265;DE;DE_SN;dena84;DE_EA;0.003;0.003;7;74;50;0;14;0;50.753;12.477;0;84
n266;DE;DE_RP;dena74;DE_WE;0.004;0.003;0;25;21;0;0;0;50.643;7.137;0;74
n267;DE;DE_SN;dena84;DE_EA;0.002;0.002;8;26;1;0;7;0;50.627;12.789;0;84
n268;DE;DE_RP;dena74;DE_WE;0;0;0;0;0;0;0;0;50.621;7.013;0;74
n269;DE;DE_RP;dena74;DE_WE;0.003;0.003;0;60;4;0;4;0;50.618;7.013;0;74
n270;DE;DE_HE;dena24;DE_WE;0.002;0.002;2;111;51;0;9;0;50.606;8.656;0;24
n271;DE;DE_TH;dena83;DE_EA;0.002;0.002;6;19;4;0;7;0;50.604;11.474;0;83
n272;DE;DE_HE;dena24;DE_WE;0.002;0.002;1;63;25;0;1;0;50.591;8.48;0;24
n273;DE;DE_TH;dena83;DE_EA;0.002;0.003;3;95;11;0;23;0;50.574;10.99;0;83
n274;DE;DE_SN;dena83;DE_EA;0.002;0.002;2;58;13;0;12;0;50.567;12.243;0;83
n275;DE;DE_TH;dena83;DE_EA;0.002;0.003;8;36;31;0;58;0;50.534;11.647;0;83
n276;DE;DE_HE;dena24;DE_WE;0.002;0.003;3;171;82;0;28;0;50.529;9.774;0;24
n277;DE;DE_SN;dena84;DE_EA;0.002;0.002;8;19;9;0;1;0;50.518;12.881;0;84
n278;CZ;CZ;dena94;CZ;0;0;0;0;0;0;0;0;50.492;13.244;0;94
n279;DE;DE_RP;dena74;DE_WE;0.003;0.002;1;54;19;0;6;0;50.437;7.429;0;74
n280;DE;DE_RP;dena74;DE_WE;0.003;0.003;8;116;69;0;27;0;50.406;8.066;0;74
n281;DE;DE_RP;dena74;DE_WE;0.002;0.002;71;75;98;0;16;0;50.402;7.449;0;74
n282;DE;DE_RP;dena74;DE_WE;0.001;0.001;32;92;318;0;12;0;50.39;6.532;0;74
n283;DE;DE_RP;dena74;DE_WE;0.003;0.002;6;70;80;0;2;0;50.386;7.593;0;74
n284;DE;DE_HE;dena24;DE_WE;0.003;0.004;0;51;41;0;6;0;50.203;8.809;0;24
n285;DE;DE_BY;dena25;DE_SE;0.002;0.002;9;197;98;0;25;0;50.183;11.811;0;25
n286;DE;DE_BY;dena25;DE_SE;0.003;0.003;5;175;1;0;13;0;50.162;11.194;0;25
n287;DE;DE_HE;dena24;DE_WE;0.005;0.005;4;25;0;0;3;0;50.159;8.735;0;24
n288;DE;DE_HE;dena24;DE_WE;0.003;0.004;5;18;6;0;1;0;50.131;8.872;0;24
n289;DE;DE_HE;dena75;DE_SW;0.005;0.005;0;21;0;0;6;0;50.098;8.47;0;75
n290;DE;DE_HE;dena24;DE_WE;0.006;0.007;0;11;0;0;14;0;50.092;8.619;0;24
n291;DE;DE_HE;dena24;DE_WE;0.002;0.002;1;28;26;0;3;0;50.082;8.959;0;24
n292;DE;DE_HE;dena75;DE_SW;0.005;0.005;0;5;0;0;8;0;50.078;8.537;0;75
n293;DE;DE_BY;dena24;DE_WE;0.002;0.002;1;42;5;0;3;0;50.06;8.989;0;24
n294;DE;DE_HE;dena75;DE_SW;0.005;0.005;0;7;0;0;0;0;50.046;8.532;0;75
n295;DE;DE_BY;dena25;DE_SE;0.002;0.003;6;107;27;0;8;0;50.028;10.196;0;25
n296;DE;DE_BY;dena25;DE_SE;0.002;0.002;15;180;82;0;14;0;49.989;10.16;0;25
n297;DE;DE_RP;dena75;DE_SW;0.004;0.004;5;100;29;0;50;0;49.982;8.388;0;75
n298;DE;DE_BY;dena25;DE_SE;0.002;0.003;14;241;65;0;18;0;49.981;10.189;0;25
n299;DE;DE_BY;dena25;DE_SE;0.003;0.003;7;155;0;0;17;0;49.98;10.664;0;25
n300;DE;DE_BY;dena25;DE_SE;0.003;0.003;6;81;28;0;14;0;49.979;11.105;0;25
n301;DE;DE_HE;dena75;DE_SW;0.004;0.004;0;45;0;0;8;0;49.974;8.772;0;75
n302;DE;DE_RP;dena75;DE_SW;0.001;0.001;85;163;157;0;21;0;49.971;6.92;0;75
n303;DE;DE_BY;dena25;DE_SE;0.002;0.002;10;113;19;0;32;0;49.97;9.09;0;25
n304;DE;DE_RP;dena75;DE_SW;0;0;0;29;88;0;5;0;49.958;6.211;0;75
n305;DE;DE_BY;dena25;DE_SE;0.003;0.004;4;124;16;0;12;0;49.929;10.836;0;25
n306;DE;DE_RP;dena75;DE_SW;0.001;0.001;1;54;81;0;10;0;49.922;6.475;0;75
n307;LU;LU;dena91;LU;0;0;16;21;23;0;0;0;49.906;6.113;0;91
n308;DE;DE_RP;dena75;DE_SW;0.001;0.001;1;42;12;0;5;0;49.829;6.702;0;75
n309;DE;DE_HE;dena75;DE_SW;0.003;0.003;0;48;9;0;3;0;49.815;8.589;0;75
n310;DE;DE_RP;dena75;DE_SW;0.001;0.001;29;50;83;0;3;0;49.811;6.844;0;75
n311;DE;DE_RP;dena75;DE_SW;0.002;0.002;3;170;314;0;3;0;49.811;7.793;0;75
n312;DE;DE_BW;dena25;DE_SE;0.002;0.002;31;280;146;0;10;0;49.798;9.594;0;25
n313;DE;DE_RP;dena75;DE_SW;0.001;0.001;11;48;111;0;3;0;49.749;6.621;0;75
n314;DE;DE_RP;dena75;DE_SW;0.003;0.003;0;38;41;0;1;0;49.709;8.415;0;75
n315;CZ;CZ;dena94;CZ;0;0;0;0;0;0;0;0;49.68;12.785;0;94
n316;LU;LU;dena91;LU;0;0;16;21;23;0;0;0;49.669;6.14;0;91
n317;DE;DE_RP;dena75;DE_SW;0.003;0.003;0;34;9;0;5;0;49.633;8.419;0;75
n318;DE;DE_BY;dena25;DE_SE;0.002;0.002;16;316;13;0;53;0;49.631;12.113;0;25
n319;DE;DE_BW;dena41;DE_SW;0.002;0.002;7;122;83;0;14;0;49.59;9.447;0;41
n320;DE;DE_RP;dena75;DE_SW;0.002;0.002;0;103;218;0;6;0;49.578;8.068;0;75
n321;DE;DE_BW;dena75;DE_SW;0.001;0.001;16;40;0;0;4;0;49.567;8.954;0;75
n322;DE;DE_BY;dena25;DE_SE;0.004;0.005;12;125;2;0;22;0;49.558;10.973;0;25
n323;DE;DE_BW;dena75;DE_SW;0.002;0.002;1;42;0;0;8;0;49.544;8.627;0;75
n324;DE;DE_RP;dena75;DE_SW;0.003;0.003;0;29;17;0;26;0;49.529;8.408;0;75
n325;DE;DE_BW;dena75;DE_SW;0;0;0;0;0;0;0;0;49.499;8.57;0;75
n326;DE;DE_RP;dena75;DE_SW;0.002;0.002;1;132;97;0;11;0;49.483;7.729;0;75
n327;DE;DE_RP;dena75;DE_SW;0.003;0.003;0;29;3;0;22;0;49.446;8.489;0;75
n328;DE;DE_RP;dena75;DE_SW;0.003;0.003;0;2;0;0;0;0;49.445;8.501;0;75
n329;DE;DE_BW;dena75;DE_SW;0.002;0.002;6;16;0;0;0;0;49.44;8.547;0;75
n330;DE;DE_RP;dena75;DE_SW;0.003;0.003;0;71;12;0;2;0;49.421;8.352;0;75
n331;DE;DE_BY;dena25;DE_SE;0.003;0.004;8;248;80;0;44;0;49.393;11.327;0;25
n332;DE;DE_BY;dena25;DE_SE;0.003;0.004;2;491;118;0;75;0;49.379;10.843;0;25
n333;DE;DE_SL;dena75;DE_SW;0.002;0.002;1;49;39;0;5;0;49.376;6.996;0;75
n334;DE;DE_SL;dena75;DE_SW;0.002;0.002;0;68;107;0;13;0;49.369;7.236;0;75
n335;DE;DE_SL;dena75;DE_SW;0.002;0.002;0;15;13;0;1;0;49.365;6.75;0;75
n336;DE;DE_SL;dena75;DE_SW;0.002;0.002;0;2;0;0;1;0;49.365;6.755;0;75
n337;DE;DE_BW;dena41;DE_SW;0.001;0.001;4;47;6;0;13;0;49.363;9.076;0;41
n338;DE;DE_SL;dena75;DE_SW;0.002;0.002;13;16;0;0;0;0;49.36;6.766;0;75
n339;DE;DE_BW;dena41;DE_SW;0.002;0.002;11;16;0;0;0;0;49.36;8.664;0;41
n340;DE;DE_SL;dena75;DE_SW;0.002;0.002;0;21;0;0;7;0;49.358;7.241;0;75
n341;DE;DE_SL;dena75;DE_SW;0.001;0.002;4;29;27;0;1;0;49.357;6.741;0;75
n342;DE;DE_BW;dena41;DE_SW;0.002;0.002;0;18;0;0;2;0;49.357;8.623;0;41
n343;DE;DE_SL;dena75;DE_SW;0.002;0.002;3;71;0;0;6;0;49.331;7.031;0;75
n344;DE;DE_SL;dena75;DE_SW;0.002;0.002;1;87;64;0;4;0;49.306;7.32;0;75
n345;DE;DE_BY;dena25;DE_SE;0.002;0.002;9;214;5;0;29;0;49.298;12.082;0;25
n346;DE;DE_BW;dena41;DE_SW;0.001;0.001;7;45;0;0;6;0;49.295;9.091;0;41
n347;DE;DE_BW;dena41;DE_SW;0.003;0.003;0;39;0;0;1;0;49.294;8.512;0;41
n348;DE;DE_SL;dena75;DE_SW;0.001;0.002;1;60;0;0;46;0;49.291;6.774;0;75
n349;DE;DE_BW;dena41;DE_SW;0.002;0.002;1;92;0;0;8;1;49.29;8.674;0;41
n350;DE;DE_BW;dena41;DE_SW;0.003;0.002;0;56;15;0;3;0;49.251;8.441;0;41
n351;DE;DE_BW;dena41;DE_SW;0.002;0.002;11;323;58;0;43;0;49.232;9.695;0;41
n352;FR;FR;dena96;FR;0;0;0;0;0;0;0;0;49.199;6.279;0;96
n353;DE;DE_BW;dena41;DE_SW;0.002;0.002;6;68;0;0;7;0;49.177;9.208;0;41
n354;DE;DE_BW;dena41;DE_SW;0.002;0.002;5;42;0;0;1;0;49.144;9.151;0;41
n355;FR;FR;dena96;FR;0;0;0;0;0;0;0;0;49.138;6.695;0;96
n356;DE;DE_BW;dena41;DE_SW;0.002;0.002;0;30;0;0;1;0;49.042;9.205;0;41
n357;DE;DE_BW;dena41;DE_SW;0.003;0.003;12;19;0;0;0;0;49.039;9.178;0;41
n358;DE;DE_BW;dena41;DE_SW;0.003;0.003;0;90;23;0;1;8;49.029;8.273;0;41
n359;DE;DE_BW;dena41;DE_SW;0.003;0.003;0;17;0;0;0;0;49.013;8.349;0;41
n360;DE;DE_BY;dena25;DE_SE;0.003;0.003;33;242;1;0;17;0;49.013;12.151;0;25
n361;DE;DE_BW;dena41;DE_SW;0.003;0.003;0;11;3;0;79;0;49.009;8.314;0;41
n362;DE;DE_BW;dena41;DE_SW;0.003;0.003;2;40;0;0;1;0;48.986;8.445;0;41
n363;DE;DE_BW;dena42;DE_SW;0.004;0.004;10;21;2;0;6;0;48.913;9.195;0;42
n364;DE;DE_BW;dena41;DE_SW;0.004;0.004;4;76;0;0;9;0;48.903;9.046;0;41
n365;DE;DE_BW;dena42;DE_SW;0.003;0.003;2;322;76;0;61;0;48.897;10.116;0;42
n366;DE;DE_BW;dena41;DE_SW;0.003;0.003;6;89;1;0;19;0;48.89;8.641;0;41
n367;DE;DE_BW;dena42;DE_SW;0.004;0.004;4;53;0;0;5;0;48.88;9.379;0;42
n368;DE;DE_BW;dena42;DE_SW;0.005;0.005;12;21;0;0;2;0;48.853;9.215;0;42
n369;DE;DE_BW;dena42;DE_SW;0.002;0.002;131;68;0;0;3;0;48.846;8.249;0;42
n370;DE;DE_BY;dena26;DE_SE;0.002;0.003;8;215;5;0;15;0;48.838;11.792;0;26
n371;DE;DE_BW;dena41;DE_SW;0.005;0.005;0;49;1;0;8;0;48.828;9.097;0;41
n372;DE;DE_BW;dena42;DE_SW;0.004;0.004;1;14;0;0;1;0;48.813;9.378;0;42
n373;DE;DE_BY;dena26;DE_SE;0.004;0.006;25;86;0;0;2;0;48.764;11.584;0;26
n374;DE;DE_BY;dena26;DE_SE;0.002;0.002;84;718;5;0;44;0;48.763;12.851;0;26
n375;DE;DE_BY;dena26;DE_SE;0.004;0.005;81;221;23;0;21;0;48.761;11.508;0;26
n376;DE;DE_BW;dena42;DE_SW;0.002;0.002;1;170;27;0;33;0;48.737;10.222;0;42
n377;DE;DE_BW;dena42;DE_SW;0.004;0.004;6;22;0;0;3;0;48.719;9.371;0;42
n378;DE;DE_BW;dena42;DE_SW;0.002;0.002;7;79;9;0;12;0;48.705;8.121;0;42
n379;DE;DE_BW;dena42;DE_SW;0.003;0.003;3;120;1;0;7;0;48.701;9.563;0;42
n380;DE;DE_BY;dena26;DE_SE;0.002;0.002;135;581;1;0;31;0;48.667;13.103;0;26
n381;DE;DE_BW;dena42;DE_SW;0.004;0.004;4;37;0;0;1;0;48.666;9.402;0;42
n382;DE;DE_BY;dena26;DE_SE;0.002;0.003;67;338;2;0;27;0;48.606;12.297;0;26
n383;DE;DE_BY;dena26;DE_SE;0.003;0.003;40;212;1;0;25;0;48.586;12.221;0;26
n384;DE;DE_BW;dena42;DE_SW;0.003;0.003;10;155;32;0;11;0;48.584;8.786;0;42
n385;DE;DE_BW;dena42;DE_SW;0.004;0.004;9;117;0;0;20;0;48.55;9.275;0;42
n386;DE;DE_BW;dena42;DE_SW;0;0;0;0;0;0;0;0;48.543;9.241;0;42
n387;DE;DE_BY;dena76;DE_SE;0.002;0.003;65;375;12;0;67;0;48.539;10.868;0;76
n388;DE;DE_BW;dena42;DE_SW;0;0;0;0;0;0;0;0;48.533;9.218;0;42
n389;DE;DE_BY;dena76;DE_SE;0.002;0.003;3;135;36;0;31;0;48.53;10.232;0;76
n390;DE;DE_BY;dena76;DE_SE;0.002;0.003;27;252;1;0;28;0;48.518;10.391;0;76
n391;DE;DE_BW;dena42;DE_SW;0.002;0.002;7;139;7;0;21;0;48.501;7.911;0;42
n392;DE;DE_BW;dena42;DE_SW;0.003;0.003;3;140;61;0;34;0;48.465;9.704;0;42
n393;DE;DE_BY;dena26;DE_SE;0.005;0.006;27;141;4;0;14;0;48.455;11.808;0;26
n394;DE;DE_BY;dena76;DE_SE;0.003;0.003;15;149;0;0;47;0;48.401;10.937;0;76
n395;DE;DE_BW;dena42;DE_SW;0.003;0.003;2;155;6;0;23;0;48.31;8.873;0;42
n396;DE;DE_BW;dena42;DE_SW;0.003;0.003;49;181;8;0;43;0;48.304;9.886;0;42
n397;DE;DE_BY;dena26;DE_SE;0.002;0.003;7;163;0;0;19;0;48.291;11.371;0;26
n398;DE;DE_BY;dena76;DE_SE;0.003;0.003;9;157;0;0;22;0;48.267;10.083;0;76
n399;DE;DE_BY;dena26;DE_SE;0.001;0.002;75;205;1;0;18;0;48.262;13.003;0;26
n400;AT;AT;dena92;AT;0;0;143;0;0;0;0;0;48.257;13.081;0;92
n401;DE;DE_BY;dena76;DE_SE;0.002;0.003;94;229;0;0;21;0;48.238;10.841;0;76
n402;DE;DE_BY;dena26;DE_SE;0.005;0.006;38;36;0;0;3;0;48.221;11.813;0;26
n403;DE;DE_BY;dena26;DE_SE;0.005;0.006;1;57;0;0;13;0;48.207;11.868;0;26
n404;DE;DE_BY;dena26;DE_SE;0.007;0.009;56;116;2;0;31;11;48.179;11.64;0;26
n405;DE;DE_BY;dena26;DE_SE;0.007;0.008;34;36;0;0;4;0;48.172;11.441;0;26
n406;DE;DE_BY;dena26;DE_SE;0.002;0.002;239;435;3;0;60;0;48.149;12.747;0;26
n407;DE;DE_BW;dena42;DE_SW;0.002;0.002;7;197;45;0;19;0;48.099;7.753;0;42
n408;DE;DE_BW;dena42;DE_SW;0.002;0.002;6;112;5;0;14;0;48.066;8.617;0;42
n409;DE;DE_BW;dena42;DE_SW;0.002;0.002;6;175;4;0;37;0;48.064;9.426;0;42
n410;DE;DE_BW;dena42;DE_SW;0;0;0;0;0;0;0;0;48.057;8.627;0;42
n411;DE;DE_BW;dena42;DE_SW;0;0;0;0;0;0;0;0;48.056;8.626;0;42
n412;DE;DE_BY;dena26;DE_SE;0.002;0.003;16;118;0;0;5;0;48.052;11.294;0;26
n413;DE;DE_BW;dena42;DE_SW;0.003;0.003;12;146;44;0;16;0;48.043;8.465;0;42
n414;DE;DE_BY;dena76;DE_SE;0.002;0.002;33;328;16;0;51;0;48.027;10.642;0;76
n415;DE;DE_BY;dena76;DE_SE;0.002;0.002;29;277;17;0;25;0;47.971;10.195;0;76
n416;FR;FR;dena96;FR;0;0;0;0;0;0;0;0;47.925;7.564;0;96
n417;DE;DE_BW;dena42;DE_SW;0;0;0;0;0;0;0;0;47.915;8.531;0;42
n418;DE;DE_BY;dena26;DE_SE;0.004;0.005;248;246;2;0;47;0;47.913;12.13;0;26
n419;DE;DE_BW;dena42;DE_SW;0.002;0.002;3;121;0;0;15;0;47.844;9.013;0;42
n420;DE;DE_BW;dena42;DE_SW;0.002;0.002;4;64;0;0;10;0;47.806;8.861;0;42
n421;DE;DE_BW;dena42;DE_SW;0.002;0.002;4;156;0;0;29;0;47.745;9.645;0;42
n422;DE;DE_BY;dena76;DE_SE;0.001;0.002;122;151;29;0;11;0;47.738;10.363;0;76
n423;DE;DE_BY;dena76;DE_SE;0.001;0.001;29;68;1;0;4;0;47.683;10.322;0;76
n424;DE;DE_BY;dena42;DE_SW;0.002;0.002;7;137;3;0;17;0;47.653;9.802;0;42
n425;FR;FR;dena96;FR;0;0;0;0;0;0;0;0;47.65;7.508;0;96
n426;DE;DE_BW;dena42;DE_SW;0.001;0.001;13;22;2;0;1;0;47.649;7.937;0;42
n427;DE;DE_BW;dena42;DE_SW;0.002;0.002;112;31;3;0;2;0;47.64;8.252;0;42
n428;DE;DE_BW;dena42;DE_SW;0.001;0.001;2;36;0;0;4;0;47.634;8.259;0;42
n429;DE;DE_BW;dena42;DE_SW;0.001;0.001;1;18;0;0;0;0;47.596;7.958;0;42
n430;DE;DE_BW;dena42;DE_SW;0.001;0.001;151;48;0;0;1;0;47.586;7.839;0;42
n431;DE;DE_BW;dena42;DE_SW;0.001;0.001;0;4;0;0;0;0;47.572;7.957;0;42
n432;CH;CH;dena93;CH;0;0;0;0;0;0;0;0;47.571;8.337;0;93
n433;CH;CH;dena93;CH;0;0;0;0;0;0;0;0;47.55;8.048;0;93
n434;CH;CH;dena93;CH;0;0;0;0;0;0;0;0;47.539;7.752;0;93
n435;DE;DE_BY;dena26;DE_SE;0.001;0.001;119;70;0;0;6;0;47.496;11.278;0;26
n436;AT;AT;dena92;AT;0;0;0;0;0;0;0;0;47.294;11.102;0;92
n437;AT;AT;dena92;AT;0;0;0;0;0;0;0;0;47.247;10.873;0;92
n438;AT;AT;dena92;AT;0;0;187;0;0;0;0;0;47.143;9.812;0;92
