conno;cou;nodeno;sta;dena;z6;tech;fuel;cap;eff;co2;coal;BnetzA;Plantname;0;dena
p373;DE;n368;DE_BW;dena42;DE_SW;coal;coal;45;0.38;0.95;4.53;BNA0936;Restmüll-Heizkraftwerk Stuttgart-Münster;0;42
p374;DE;n368;DE_BW;dena42;DE_SW;coal;coal;45;0.39;0.94;4.47;BNA0935;Restmüll-Heizkraftwerk Stuttgart-Münster;0;42
p375;DE;n368;DE_BW;dena42;DE_SW;oil;oil;25;0.31;0.85;0;BNA0939b;Restmüll-Heizkraftwerk Stuttgart-Münster;0;42
p376;DE;n368;DE_BW;dena42;DE_SW;oil;oil;25;0.31;0.85;0;BNA0937;Restmüll-Heizkraftwerk Stuttgart-Münster;0;42
p377;DE;n368;DE_BW;dena42;DE_SW;was;was;20;1;0;0;BNA0939a;Restmüll-Heizkraftwerk Stuttgart-Münster;0;42
p378;DE;n368;DE_BW;dena42;DE_SW;oil;oil;25;0.31;0.85;0;BNA0938;Restmüll-Heizkraftwerk Stuttgart-Münster;0;42
p379;DE;n385;DE_BW;dena42;DE_SW;gas;gas;15;0.38;0.5;0;BNA0957;BHKW Obere Viehweide;0;42
p380;DE;n348;DE_SL;dena75;DE_SW;coal;coal;179;0.38;0.95;4.53;BNA0998;Modellkraftwerk;0;75
p381;DE;n348;DE_SL;dena75;DE_SW;coal;coal;211;0.4;0.91;4.33;BNA0999;Heizkraftwerk;0;75
p382;DE;n213;DE_SN;dena84;DE_EA;lig;lig;31;0.39;1.04;0;BNA1002;Wählitz;0;84
p383;DE;n363;DE_BW;dena42;DE_SW;oil;oil;144;0.33;0.8;0;BNA1004;Kraftwerk Walheim;0;42
p384;DE;n363;DE_BW;dena42;DE_SW;coal;coal;96;0.34;1.08;5.14;BNA1005;Kraftwerk Walheim;0;42
p385;DE;n363;DE_BW;dena42;DE_SW;coal;coal;148;0.34;1.05;5.02;BNA1006;Kraftwerk Walheim;0;42
p386;DE;n423;DE_BY;dena76;DE_SE;oil;oil;25;0.35;0.76;0;BNA1007a;SKW Gasturbine;0;76
p387;DE;n423;DE_BY;dena76;DE_SE;oil;oil;11;0.32;0.82;0;BNA1007b;SKW Diesel;0;76
p388;DE;n025;DE_SH;dena82;DE_NW;oil;oil;54;0.31;0.86;0;BNA1015;Wedel;0;82
p389;DE;n025;DE_SH;dena82;DE_NW;oil;oil;54;0.31;0.86;0;BNA1016;Wedel;0;82
p390;DE;n257;DE_NRW;dena74;DE_WE;was;was;24;1;0;0;BNA1020;MVA Weisweiler;0;74
p391;DE;n257;DE_NRW;dena74;DE_WE;lig;lig;312;0.32;1.27;0;BNA1025;Weisweiler;0;74
p392;DE;n205;DE_NRW;dena73;DE_WE;coal;coal;186;0.35;1.02;3.25;BNA1035;Kraftwerk Werdohl-Elverlingsen;0;73
p393;DE;n133;DE_NRW;dena73;DE_WE;gas;gas;64;0.31;0.61;0;BNA1039;Gersteinwerk;0;73
p394;DE;n133;DE_NRW;dena73;DE_WE;gas;gas;64;0.4;0.46;0;BNA1040;Gersteinwerk;0;73
p395;DE;n133;DE_NRW;dena73;DE_WE;gas;gas;64;0.31;0.61;0;BNA1041;Gersteinwerk;0;73
p396;DE;n133;DE_NRW;dena73;DE_WE;gas;gas;64;0.31;0.61;0;BNA1042;Gersteinwerk;0;73
p397;DE;n133;DE_NRW;dena73;DE_WE;gas;gas;130;0.42;0.45;0;BNA1046b;Gersteinwerk;0;73
p398;DE;n297;DE_RP;dena75;DE_SW;gas;gas;29;0.4;0.48;0;BNA1056;Wi-Biebrich;0;75
p399;DE;n033;DE_NI;dena22;DE_NW;oil;oil;59;0.31;0.85;0;BNA1060;Wilhelmshaven;0;22
p400;DE;n126;DE_ST;dena83;DE_EA;gas;gas;46;0.37;0.51;0;BNA1074;Spitzenlastkraftwerk Wolfen;0;83
p401;DE;n208;DE_HE;dena24;DE_WE;coal;coal;62;0.43;0.85;3.37;BNA1075a;HKW Nord;0;24
p402;DE;n083;DE_NI;dena23;DE_NW;coal;coal;62;0.43;0.85;1.35;BNA1075b;HKW Nord;0;23
p403;DE;n208;DE_HE;dena24;DE_WE;coal;coal;139;0.39;0.93;3.7;BNA1076b;HKW West;0;24
p404;DE;n083;DE_NI;dena23;DE_NW;coal;coal;139;0.39;0.93;1.48;BNA1076a;HKW West;0;23
p405;DE;n358;DE_BW;dena41;DE_SW;gas;gas;68;0.4;0.47;0;BNA1078;HKW Wörth;0;41
p406;DE;n211;DE_NRW;dena72;DE_WE;gas;gas;95;0.39;0.48;0;BNA1082;HKW Barmen;0;72
p407;DE;n211;DE_NRW;dena72;DE_WE;oil;oil;64;0.4;0.66;0;BNA1083;Spitzenlastanlage Barmen;0;72
p408;DE;n217;DE_NRW;dena72;DE_WE;coal;coal;85;0.4;0.91;2.89;BNA1084;HKW Elberfeld ;0;72
p409;DE;n296;DE_BY;dena25;DE_SE;gas;gas;27;0.31;0.62;0;BNA1085;Heizkraftwerke an der Friedensbrücke;0;25
p410;DE;n296;DE_BY;dena25;DE_SE;gas;gas;29;0.36;0.52;0;BNA1086;Heizkraftwerke an der Friedensbrücke;0;25
p411;DE;n296;DE_BY;dena25;DE_SE;gas;gas;34;0.4;0.47;0;BNA1087;Heizkraftwerke an der Friedensbrücke;0;25
p412;DE;n296;DE_BY;dena25;DE_SE;gas;gas;52;0.39;0.48;0;BNA1088;Heizkraftwerke an der Friedensbrücke;0;25
p413;DE;n095;DE_ST;dena81;DE_NE;gas;gas;60;0.37;0.51;0;BNA1089;Zielitz;0;81
p414;DE;n393;DE_BY;dena26;DE_SE;oil;oil;49;0.32;0.83;0;BNA1092;Zolling;0;26
p415;DE;n248;DE_NRW;dena74;DE_WE;gas;gas;18;0.29;0.65;0;BNA1094;Gaskraftwerk;0;74
p416;DE;n248;DE_NRW;dena74;DE_WE;lig;lig;14;0.42;0.94;0;BNA1097;Kohlekraftwerk;0;74
p417;DE;n394;DE_BY;dena76;DE_SE;gas;gas;34;0.29;0.65;0;BNA1103;UPM Augsburg;0;76
p418;DE;n394;DE_BY;dena76;DE_SE;gas;gas;21;0.32;0.59;0;BNA1104;Heizkraftwerk;0;76
p419;DE;n236;DE_TH;dena83;DE_EA;gas;gas;12;0.36;0.52;0;BNA1105;HKW Bad Salzungen;0;83
p420;DE;n126;DE_ST;dena83;DE_EA;was;was;10;1;0;0;BNA1108;PD energy GmbH;0;83
p421;DE;n371;DE_BW;dena41;DE_SW;was;was;10;1;0;0;BNA1110;Restmüllheizkraftwerk Böblingen;0;41
p422;DE;n053;DE_HB;dena22;DE_NW;was;was;12;1;0;0;BNA1114;MHKW;0;22
p423;DE;n341;DE_SL;dena75;DE_SW;oth;oil;101;0.35;0.74;0;BNA1115;Gichtgaskraftwerk Dillingen;0;75
p424;DE;n038;DE_NI;dena22;DE_NW;was;was;14;1;0;0;BNA1116;BEG;0;22
p425;DE;n303;DE_BY;dena25;DE_SE;gas;gas;13;0.38;0.5;0;BNA1117;Industriekraftwerk Breuberg;0;25
p426;DE;n406;DE_BY;dena26;DE_SE;was;was;12;1;0;0;BNA1119;MHKW Burgkirchen;0;26
p427;DE;n152;DE_NRW;dena72;DE_WE;gas;gas;12;0.36;0.53;0;BNA1120;Energiezentrale;0;72
p428;DE;n152;DE_NRW;dena72;DE_WE;gas;gas;1;0.39;0.48;0;BNA1121;Energiezentrale;0;72
p429;DE;n309;DE_HE;dena75;DE_SW;gas;gas;12;0.38;0.5;0;BNA1125;Heizkraftwerk;0;75
p430;DE;n382;DE_BY;dena26;DE_SE;gas;gas;8;0.38;0.5;0;BNA1127;GHD;0;26
p431;DE;n382;DE_BY;dena26;DE_SE;gas;gas;8;0.38;0.5;0;BNA1128;GHD;0;26
p432;DE;n249;DE_NRW;dena74;DE_WE;gas;gas;16;0.4;0.47;0;BNA1131;MT, Düren;0;74
p433;DE;n209;DE_NRW;dena72;DE_WE;gas;gas;12;0.38;0.5;0;BNA1138;BHKW an Klinkerweg;0;72
p434;DE;n407;DE_BW;dena42;DE_SW;was;was;14;1;0;0;BNA1139;TREA Breisgau;0;42
p435;DE;n269;DE_RP;dena74;DE_WE;lig;lig;10;0.39;1.03;0;BNA1141;P&L Werk Euskirchen;0;74
p436;DE;n379;DE_BW;dena42;DE_SW;was;was;11;1;0;0;BNA1144;EEW Göppingen;0;42
p437;DE;n133;DE_NRW;dena73;DE_WE;was;was;15;1;0;0;BNA1148;MVA Hamm;0;73
p438;DE;n339;DE_BW;dena41;DE_SW;gas;gas;16;0.39;0.49;0;BNA1151;KWKK Heidelberg;0;41
p439;DE;n158;DE_NRW;dena72;DE_WE;was;was;13;1;0;0;BNA1154;RZR Herten I;0;72
p440;DE;n158;DE_NRW;dena72;DE_WE;was;was;17;1;0;0;BNA1155;RZR Herten II;0;72
p441;DE;n375;DE_BY;dena26;DE_SE;was;was;21;1;0;0;BNA1161;MVA Ingolstadt;0;26
p442;DE;n249;DE_NRW;dena74;DE_WE;lig;lig;25;0.41;0.98;0;BNA1164;P&L Werk Jülich;0;74
p443;DE;n130;DE_NRW;dena72;DE_WE;gas;gas;13;0.39;0.48;0;BNA1165;P&L Werk Appeldorn;0;72
p444;DE;n155;DE_NRW;dena72;DE_WE;was;was;16;1;0;0;BNA1167;Abfallentsorgungszentrum Asdonkshof;0;72
p445;DE;n208;DE_HE;dena24;DE_WE;was;was;15;1;0;0;BNA1168;Müllheizkraftwerk;0;24
p446;DE;n231;DE_NRW;dena74;DE_WE;gas;gas;18;0.29;0.65;0;BNA1182;HKW Merkenich;0;74
p447;DE;n247;DE_NRW;dena74;DE_WE;gas;gas;18;0.38;0.49;0;BNA1183;HKW Merheim;0;74
p448;DE;n233;DE_NRW;dena74;DE_WE;was;was;45;1;0;0;BNA1184;RMVA Köln;0;74
p449;DE;n117;DE_ST;dena81;DE_NE;lig;lig;20;0.39;1.03;0;BNA1185;P&L Werk Könnern;0;81
p450;DE;n193;DE_NRW;dena72;DE_WE;was;was;14;1;0;0;BNA1186a;MKVA Krefeld;0;72
p451;DE;n193;DE_NRW;dena72;DE_WE;was;was;14;1;0;0;BNA1186b;MKVA Krefeld;0;72
p452;DE;n193;DE_NRW;dena72;DE_WE;was;was;2;1;0;0;BNA1186c;MKVA Krefeld;0;72
p453;DE;n193;DE_NRW;dena72;DE_WE;was;was;3;1;0;0;BNA1186d;MKVA Krefeld;0;72
p454;DE;n193;DE_NRW;dena72;DE_WE;was;was;2;1;0;0;BNA1186e;MKVA Krefeld;0;72
p455;DE;n114;DE_NRW;dena73;DE_WE;gas;gas;12;0.33;0.57;0;BNA1187;P&L Werk Lage;0;73
p456;DE;n224;DE_SN;dena84;DE_EA;was;was;15;1;0;0;BNA1190;Thermische Abfallbehandlung Lauta GmbH & Co. oHG;0;84
p457;DE;n114;DE_NRW;dena73;DE_WE;gas;gas;15;0.39;0.49;0;BNA1193;HKW-West;0;73
p458;DE;n327;DE_RP;dena75;DE_SW;gas;gas;14;0.4;0.47;0;BNA1196a;BHKW Ludwigshafen;0;75
p459;DE;n327;DE_RP;dena75;DE_SW;gas;gas;14;0.39;0.49;0;BNA1196b;Industriekraftwerk Ludwigshafen;0;75
p460;DE;n324;DE_RP;dena75;DE_SW;was;was;29;1;0;0;BNA1197;FHKW Ludwigshafen;0;75
p461;DE;n213;DE_SN;dena84;DE_EA;was;was;25;1;0;0;BNA1198;SITA Abfallverwertung GmbH ;0;84
p462;DE;n297;DE_RP;dena75;DE_SW;was;was;16;1;0;0;BNA1199;MHKW Mainz;0;75
p463;DE;n324;DE_RP;dena75;DE_SW;gas;gas;20;0.45;0.42;0;BNA1200;GuD-Kraftwerk;0;75
p464;DE;n414;DE_BY;dena76;DE_SE;oil;oil;12;0.37;0.72;0;BNA1212;DKW Nord;0;76
p465;DE;n301;DE_HE;dena75;DE_SW;was;was;10;1;0;0;BNA1222;Müllheizkraftwerk Offenbach;0;75
p466;DE;n412;DE_BY;dena26;DE_SE;gas;gas;6;0.35;0.54;0;BNA1225;PWG;0;26
p467;DE;n412;DE_BY;dena26;DE_SE;gas;gas;6;0.35;0.54;0;BNA1226;PWG;0;26
p468;DE;n414;DE_BY;dena76;DE_SE;oil;oil;12;0.37;0.72;0;BNA1227;DKW Leinau;0;76
p469;DE;n344;DE_SL;dena75;DE_SW;was;was;15;1;0;0;BNA1229;MHKW Pirmasens;0;75
p470;DE;n079;DE_BB;dena81;DE_NE;was;was;3;1;0;0;BNA1232;ZWSF;0;81
p471;DE;n079;DE_BB;dena81;DE_NE;was;was;15;1;0;0;BNA1233;EVE;0;81
p472;DE;n418;DE_BY;dena26;DE_SE;gas;gas;15;0.38;0.5;0;BNA1238;Kraftwerk Meggle;0;26
p473;DE;n009;DE_MV;dena81;DE_NE;was;was;17;1;0;0;BNA1243;EBS-HKW Rostock;0;81
p474;DE;n348;DE_SL;dena75;DE_SW;was;was;16;1;0;0;BNA1244;AVA Velsen;0;75
p475;DE;n414;DE_BY;dena76;DE_SE;gas;gas;52;0.3;0.63;0;BNA1248;UPM Schongau;0;76
p476;DE;n414;DE_BY;dena76;DE_SE;oth;oil;7;0.35;0.74;0;BNA1249;UPM Schongau;0;76
p477;DE;n345;DE_BY;dena25;DE_SE;was;was;54;1;0;0;BNA1254;Müllkraftwerk Schwandorf;0;25
p478;DE;n054;DE_BB;dena81;DE_NE;was;was;29;1;0;0;BNA1255;Kraftwerk Schwedt GmbH & Co.KG;0;81
p479;DE;n371;DE_BW;dena41;DE_SW;gas;gas;75;0.33;0.57;0;BNA1260;Heizkraftwerk Sindelfingen;0;41
p480;DE;n034;DE_HH;dena82;DE_NW;was;was;16;1;0;0;BNA1261;EEW Stapelfeld GmbH;0;82
p481;DE;n117;DE_ST;dena81;DE_NE;was;was;24;1;0;0;BNA1262;EVZA Energie- und Verwertungszentrale GmbH, Anhalt;0;81
p482;DE;n273;DE_TH;dena83;DE_EA;gas;gas;16;0.37;0.51;0;BNA1264;HKW Bohrhügel;0;83
p483;DE;n245;DE_HE;dena24;DE_WE;gas;gas;39;0.35;0.54;0;BNA1271;Unterbreizbach;0;24
p484;DE;n323;DE_BW;dena75;DE_SW;gas;gas;24;0.39;0.48;0;BNA1276;Kraftwerk Freudenberg Weinheim;0;75
p485;DE;n255;DE_NRW;dena74;DE_WE;gas;gas;60;0.37;0.51;0;BNA1279;Gasturbine;0;74
p486;DE;n255;DE_NRW;dena74;DE_WE;oil;oil;70;0.28;0.94;0;BNA1280;Kraftwerk;0;74
p487;DE;n317;DE_RP;dena75;DE_SW;gas;gas;13;0.36;0.53;0;BNA1284;Co-Generation;0;75
p488;DE;n084;DE_NI;dena23;DE_NW;gas;gas;22;0.31;0.6;0;BNA1285;Sigmundshall;0;23
p489;DE;n273;DE_TH;dena83;DE_EA;was;was;11;1;0;0;BNA1286;Restabfallbehandlungsanlage;0;83
p490;DE;n187;DE_NRW;dena73;DE_WE;was;was;13;1;0;0;BNA1289;AMK - Abfallentsorgungsgesellschaft des Märkischen Kreises mbH;0;73
p491;DE;n279;DE_RP;dena74;DE_WE;gas;gas;14;0.4;0.47;0;BNA1291;IHKW Andernach;0;74
p492;DE;n376;DE_BW;dena42;DE_SW;gas;gas;13;0.34;0.56;0;BNA1292a;IHKW Heidenheim;0;42
p493;DE;n376;DE_BW;dena42;DE_SW;gas;gas;22;0.38;0.5;0;BNA1292b;IHKW Heidenheim;0;42
p494;DE;n239;DE_NRW;dena74;DE_WE;lig;lig;10;0.39;1.03;0;BNA1293b;Kraftwerk;0;74
p495;DE;n037;DE_HH;dena82;DE_NW;oil;oil;40;0.36;0.73;0;BNA1294;EEV;0;82
p496;DE;n394;DE_BY;dena76;DE_SE;was;was;10;1;0;0;BNA1295;AVA GmbH;0;76
p497;DE;n407;DE_BW;dena42;DE_SW;gas;gas;21;0.37;0.51;0;BNA1315;HKW;0;42
p498;DE;n217;DE_NRW;dena72;DE_WE;was;was;30;1;0;0;BNA1316;Müllheizkraftwerk;0;72
p499;DE;n393;DE_BY;dena26;DE_SE;gas;gas;13;0.36;0.52;0;BNA1327a;Energiezentrale 1992;0;26
p500;DE;n393;DE_BY;dena26;DE_SE;gas;gas;9;0.39;0.49;0;BNA1327b;Erweiterung Energiezentrale 2003;0;26
p501;DE;n418;DE_BY;dena26;DE_SE;gas;gas;28;0.39;0.49;0;BNA1328;HBB;0;26
p502;DE;n250;DE_SN;dena84;DE_EA;gas;gas;15;0.36;0.52;0;BNA1329;K&N PFK AG EV;0;84
p503;DE;n020;DE_SH;dena21;DE_NW;oth;oil;20;0.35;0.74;0;BNA1330;Steinbeis Energie;0;21
p504;DE;n215;DE_NRW;dena73;DE_WE;coal;coal;19;0.32;1.14;3.64;BNA1331;Reno De Medici;0;73
p505;DE;n172;DE_NRW;dena72;DE_WE;gas;gas;26;0.37;0.51;0;BNA1332;Sasol Kraftwerk;0;72
p506;DE;n371;DE_BW;dena41;DE_SW;gas;gas;14;0.37;0.5;0;BNA1333a;HKW Pfaffenwald;0;41
p507;DE;n371;DE_BW;dena41;DE_SW;gas;gas;13;0.35;0.53;0;BNA1333b;HKW Pfaffenwald;0;41
p508;DE;n371;DE_BW;dena41;DE_SW;gas;gas;13;0.35;0.54;0;BNA1333c;HKW Pfaffenwald;0;41
p509;DE;n055;DE_NI;dena22;DE_NW;gas;gas;5;0.36;0.52;0;BNA1334a;KWK-Anlage;0;22
p510;DE;n055;DE_NI;dena22;DE_NW;gas;gas;6;0.39;0.49;0;BNA1334b;KWK-Anlage;0;22
p511;DE;n055;DE_NI;dena22;DE_NW;gas;gas;6;0.39;0.49;0;BNA1334c;KWK-Anlage;0;22
p512;DE;n055;DE_NI;dena22;DE_NW;gas;gas;0;0.39;0.48;0;BNA1334d;KWK-Anlage;0;22
p513;DE;n042;DE_NI;dena22;DE_NW;gas;gas;67;0.35;0.54;0;BNA1335a;PKV Kraftwerk;0;22
p514;DE;n042;DE_NI;dena22;DE_NW;gas;gas;1;0.35;0.54;0;BNA1335b;PKV Kraftwerk;0;22
p515;DE;n219;DE_NRW;dena72;DE_WE;gas;gas;97;0.25;0.75;0;BNA1336;Holthausen;0;72
p516;DE;n374;DE_BY;dena26;DE_SE;oil;oil;20;0.37;0.72;0;BNA1338;Spitzenkraftwerk;0;26
p517;DE;n240;DE_SN;dena84;DE_EA;gas;gas;40;0.38;0.5;0;BNA1396;EVC / GLOBALFOUNDRIES;0;84
p518;DE;n223;DE_NRW;dena72;DE_WE;oth;oil;24;0.35;0.74;0;BNA1397a;O10;0;72
p519;DE;n223;DE_NRW;dena72;DE_WE;oth;oil;24;0.35;0.74;0;BNA1397b;O10;0;72
p520;DE;n223;DE_NRW;dena72;DE_WE;oth;oil;24;0.35;0.74;0;BNA1397c;O10;0;72
p521;DE;n223;DE_NRW;dena72;DE_WE;oth;oil;12;0.35;0.74;0;BNA1397d;O10;0;72
p522;DE;n223;DE_NRW;dena72;DE_WE;oth;oil;36;0.35;0.74;0;BNA1397e;O10;0;72
p523;DE;n164;DE_NRW;dena72;DE_WE;oth;oil;45;0.35;0.74;0;BNA1399;Oxea GmbH;0;72
p524;DE;n213;DE_SN;dena84;DE_EA;lig;lig;19;0.38;1.04;0;BNA1400a;EZ1;0;84
p525;DE;n213;DE_SN;dena84;DE_EA;oil;oil;15;0.36;0.73;0;BNA1400b;EZ1;0;84
p526;DE;n061;DE_NI;dena22;DE_NW;gas;gas;21;0.37;0.51;0;BNA1402;Heizkraftwerk zur Papierfabrik;0;22
p527;DE;n083;DE_NI;dena23;DE_NW;gas;gas;13;0.37;0.51;0;BNA1403;Steinitz;0;23
p528;DE;n396;DE_BW;dena42;DE_SW;coal;coal;21;0.37;0.97;4.65;BNA1405a;Heizkraftwerk Magirusstraße;0;42
p529;DE;n207;DE_NRW;dena72;DE_WE;gas;gas;22;0.36;0.52;0;BNA1406;FS-Karton;0;72
p530;DE;n250;DE_SN;dena84;DE_EA;gas;gas;16;0.4;0.47;0;BNA1407;STW;0;84
p531;DE;n430;DE_BW;dena42;DE_SW;gas;gas;19;0.33;0.57;0;BNA1408;Heizkraftwerk Evonik Rheinfelden;0;42
p532;DE;n191;DE_NRW;dena72;DE_WE;oth;oil;25;0.35;0.74;0;BNA1409;DK Kraftwerk;0;72
p533;DE;n331;DE_BY;dena25;DE_SE;gas;gas;5;0.36;0.52;0;BNA1444a;GT1 ;0;25
p534;DE;n331;DE_BY;dena25;DE_SE;gas;gas;5;0.36;0.52;0;BNA1444b;GT2 ;0;25
p535;DE;n331;DE_BY;dena25;DE_SE;gas;gas;6;0.36;0.52;0;BNA1444c;GT3 ;0;25
p536;DE;n331;DE_BY;dena25;DE_SE;gas;gas;6;0.37;0.51;0;BNA1444d;GT4 ;0;25
p537;DE;n317;DE_RP;dena75;DE_SW;was;was;12;1;0;0;BNA1447a;0;0;75
p538;DE;n317;DE_RP;dena75;DE_SW;was;was;7;1;0;0;BNA1447b;0;0;75
p539;DE;n334;DE_SL;dena75;DE_SW;was;was;12;1;0;0;BNA1448;AHKW Neunkirchen;0;75
p540;DE;n296;DE_BY;dena25;DE_SE;was;was;24;1;0;0;BNA1449b;Turbosatz 2;0;25
p541;DE;n088;DE_NI;dena23;DE_NW;ccgt;gas;13;0.54;0.35;0;BNA1450;GUD-Anlage DREWSEN;0;23
p542;DE;n175;DE_NRW;dena72;DE_WE;lig;lig;28;0.39;1.03;0;BNA1451;HKW Sachtleben;0;72
p543;DE;n326;DE_RP;dena75;DE_SW;gas;gas;32;0.37;0.51;0;BNA1458;0;0;75
p544;DE;n213;DE_SN;dena84;DE_EA;lig;lig;18;0.41;0.97;0;BNA1461;0;0;84
p545;DE;n181;DE_TH;dena83;DE_EA;gas;gas;23;0.32;0.58;0;BNA1463;0;0;83
p546;DE;n343;DE_SL;dena75;DE_SW;gas;gas;45;0.41;0.46;0;BNA1464;Gas- u. Dampfturbinenanlage Südraum;0;75
p547;DE;n165;DE_NI;dena24;DE_WE;oth;oil;33;0.35;0.74;0;BNA1465;EBS-Kraftwerk Witzenhausen;0;24
p548;DE;n391;DE_BW;dena42;DE_SW;coal;coal;19;0.41;0.87;4.17;BNA1467;0;0;42
p549;DE;n188;DE_ST;dena83;DE_EA;lig;lig;49;0.35;1.14;0;BNA1486;Grubenheizkraftwerk;0;83
p550;DE;n161;DE_NRW;dena72;DE_WE;oth;oil;19;0.35;0.74;0;BNA1488;0;0;72
p551;DE;n068;DE_ST;dena81;DE_NE;gas;gas;26;0.36;0.52;0;BNA1489;Heizkraftwerk Stendal;0;81
p552;DE;n251;DE_NRW;dena74;DE_WE;was;was;33;1;0;0;BNA1490;EBKW Knapsack;0;74
p553;DE;n276;DE_HE;dena24;DE_WE;gas;gas;30;0.35;0.53;0;BNA1492a;Kraftwerk 3;0;24
p554;DE;n276;DE_HE;dena24;DE_WE;gas;gas;9;0.37;0.51;0;BNA1492b;Kraftwerk 2;0;24
p555;DE;n208;DE_HE;dena24;DE_WE;gas;gas;14;0.28;0.68;0;BNA0059a;HKW Kassel;0;24
p556;DE;n323;DE_BW;dena75;DE_SW;gas;gas;24;0.33;0.57;0;BNA1275;Kraftwerk Freudenberg Weinheim;0;75
p557;DE;n055;DE_NI;dena22;DE_NW;oth;oil;131;0.35;0.74;0;BNA0143;KW Mittelsbüren;0;22
p558;DE;n213;DE_SN;dena84;DE_EA;lig;lig;60;0.32;1.24;0;BNA0680;Mumsdorf;0;84
p559;LU;n316;LU;dena91;LU;ccgt;gas;376;0.55;0.34;0;Luxemburg;Esch-sur-alzette;0;91
p560;LU;n316;LU;dena91;LU;was;was;17;1;0;0;Luxemburg;Sidor;0;91
p561;LU;n316;LU;dena91;LU;gas;gas;17;0.35;0.53;0;Luxemburg;LU_Gas Agg;0;91
p562;LU;n307;LU;dena91;LU;gas;gas;17;0.35;0.53;0;Luxemburg;LU_Gas Agg;0;91
